RECHNUNGSNUMMER;ART;DEBITOR;DEBITORNAME;KUNDENGRUPPE;FAKTURADATUM;LEISTUNGSDATUM;WARENAUSGANG_NR;WARENAUSGANG_DATUM;LIEFERART;BETRAG_EUR;WAEHRUNG;STORNO_REF;BUCHUNGSTEXT;BEMERKUNG
SI10056206;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058119;13.03.2025;Warenlieferung;6292,41;EUR;;;
SI10056207;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058118;13.03.2025;Warenlieferung;7882,56;EUR;;;
SI10056208;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058117;13.03.2025;Warenlieferung;3495,10;EUR;;;
SI10056209;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058116;13.03.2025;Warenlieferung;10013,85;EUR;;;
SI10056210;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058115;13.03.2025;Warenlieferung;9359,16;EUR;;;
SI10056211;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058114;13.03.2025;Warenlieferung;3487,18;EUR;;;
SI10056212;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058113;13.03.2025;Warenlieferung;2928,76;EUR;;;
SI10056213;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058112;13.03.2025;Warenlieferung;9870,34;EUR;;;
SI10056214;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058111;13.03.2025;Warenlieferung;7334,21;EUR;;;
SI10056215;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058110;13.03.2025;Warenlieferung;8221,56;EUR;;;
SI10056216;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058109;13.03.2025;Warenlieferung;10307,64;EUR;;;
SI10056217;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058108;13.03.2025;Warenlieferung;3819,90;EUR;;;
SI10056218;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058107;13.03.2025;Warenlieferung;5379,53;EUR;;;
SI10056219;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058106;13.03.2025;Warenlieferung;10255,90;EUR;;;
SI10056220;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058105;13.03.2025;Warenlieferung;3901,03;EUR;;;
SI10056221;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058104;13.03.2025;Warenlieferung;6947,79;EUR;;;
SI10056222;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058103;13.03.2025;Warenlieferung;10579,77;EUR;;;
SI10056223;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058102;13.03.2025;Warenlieferung;7157,92;EUR;;;
SI10056224;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058101;13.03.2025;Warenlieferung;2637,18;EUR;;;
SI10056225;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058100;13.03.2025;Warenlieferung;5307,88;EUR;;;
SI10056226;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058099;13.03.2025;Warenlieferung;4472,50;EUR;;;
SI10056227;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058098;13.03.2025;Warenlieferung;7435,60;EUR;;;
SI10056228;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058097;13.03.2025;Warenlieferung;3662,82;EUR;;;
SI10056229;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058096;13.03.2025;Warenlieferung;4583,88;EUR;;;
SI10056230;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058095;13.03.2025;Warenlieferung;2706,88;EUR;;;
SI10056231;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058094;13.03.2025;Warenlieferung;3738,37;EUR;;;
SI10056232;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;13.03.2025;13.03.2025;DN10058093;13.03.2025;Warenlieferung;2651,58;EUR;;;
SI10056233;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058092;13.03.2025;Warenlieferung;10084,54;EUR;;;
SI10056234;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058091;13.03.2025;Warenlieferung;916,78;EUR;;;
SI10056235;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058090;13.03.2025;Warenlieferung;12149,42;EUR;;;
SI10056236;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058089;13.03.2025;Warenlieferung;11230,51;EUR;;;
SI10056237;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058088;13.03.2025;Warenlieferung;10588,76;EUR;;;
SI10056238;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058087;13.03.2025;Warenlieferung;10439,89;EUR;;;
SI10056239;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058086;13.03.2025;Warenlieferung;10216,05;EUR;;;
SI10056240;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058085;13.03.2025;Warenlieferung;12192,91;EUR;;;
SI10056241;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058084;13.03.2025;Warenlieferung;11016,31;EUR;;;
SI10056242;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058083;13.03.2025;Warenlieferung;11089,99;EUR;;;
SI10056243;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058082;13.03.2025;Warenlieferung;11374,23;EUR;;;
SI10056244;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058081;13.03.2025;Warenlieferung;3651,68;EUR;;;
SI10056245;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058080;13.03.2025;Warenlieferung;6600,79;EUR;;;
SI10056246;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058079;13.03.2025;Warenlieferung;10219,05;EUR;;;
SI10056247;Rechnung;800291;ALPEN TECHNIK;C-DOM;13.03.2025;13.03.2025;DN10058078;13.03.2025;Warenlieferung;11001,31;EUR;;;
SI10056248;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;13.03.2025;13.03.2025;DN10058077;13.03.2025;Warenlieferung;8872,16;EUR;;;
SI10056249;Rechnung;800238;TERRA SYSTEME;C-DOM;13.03.2025;13.03.2025;DN10058076;13.03.2025;Warenlieferung;11456,53;EUR;;;
SI10056250;Rechnung;802839;QUARZDÄMMTECHNIK AG;C-DOM;13.03.2025;13.03.2025;DN10058075;13.03.2025;Warenlieferung;8739,36;EUR;;;
SI10056251;Rechnung;801431;GNEIS BAUELEMENTE GMBH;C-DOM;13.03.2025;13.03.2025;DN10058074;13.03.2025;Warenlieferung;3365,94;EUR;;;
SI10056252;Rechnung;801992;ROBURSPEDITION GMBH;C-DOM;13.03.2025;13.03.2025;DN10058073;13.03.2025;Warenlieferung;2119,78;EUR;;;
SI10056253;Rechnung;802532;WESTWERKZEUGE GMBH & CO. KG;C-DOM;13.03.2025;13.03.2025;DN10058072;13.03.2025;Warenlieferung;8075,55;EUR;;;
SI10056254;Rechnung;802160;;;13.03.2025;13.03.2025;DN10058071;13.03.2025;Warenlieferung;2613,24;EUR;;;
SI10056255;Rechnung;802839;QUARZDÄMMTECHNIK AG;C-DOM;13.03.2025;13.03.2025;DN10058070;13.03.2025;Warenlieferung;2822,09;EUR;;;
SI10056256;Rechnung;800004;SÜD PANEELE KG;C-DOM;13.03.2025;13.03.2025;DN10058069;13.03.2025;Warenlieferung;14359,97;EUR;;;
SI10056257;Rechnung;801071;FORMA PLATTEN GMBH;C-DOM;14.03.2025;14.03.2025;DN0176747;14.03.2025;Warenlieferung;3389,79;EUR;;;
SI10056258;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;14.03.2025;14.03.2025;DN0176746;14.03.2025;Warenlieferung;5286,88;EUR;;;
SI10056259;Rechnung;802106;WESER GEBÄUDETECHNIK GMBH;C-IC-DOM;14.03.2025;14.03.2025;DN0176745;14.03.2025;Warenlieferung;12187,12;EUR;;;
SI10056260;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;14.03.2025;14.03.2025;DN0176733;14.03.2025;Warenlieferung;4319,34;EUR;;;
SI10056261;Rechnung;800050;KORUND LOGISTIK;C-DOM;14.03.2025;14.03.2025;DN0176732;14.03.2025;Warenlieferung;2131,29;EUR;;;
SI10056262;Rechnung;800186;KORUND ELEKTRO GMBH;C-DOM;14.03.2025;14.03.2025;DN0176731;14.03.2025;Warenlieferung;3344,13;EUR;;;
SI10056263;Rechnung;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;14.03.2025;14.03.2025;DN0176730;14.03.2025;Warenlieferung;12292,68;EUR;;;
SI10056264;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;14.03.2025;14.03.2025;DN0176521;14.03.2025;Warenlieferung;12920,54;EUR;;;
SI10056265;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;14.03.2025;14.03.2025;DN0176723;14.03.2025;Warenlieferung;1730,62;EUR;;;
SI10056266;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;14.03.2025;14.03.2025;DN0176711;14.03.2025;Warenlieferung;8923,41;EUR;;;
SI10056267;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;14.03.2025;14.03.2025;DN0176710;14.03.2025;Warenlieferung;12420,39;EUR;;;
SI10056268;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176709;14.03.2025;Warenlieferung;5009,16;EUR;;;
SI10056269;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176688;14.03.2025;Warenlieferung;5449,25;EUR;;;
SI10056270;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176681;14.03.2025;Warenlieferung;4318,27;EUR;;;
SI10056271;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176680;14.03.2025;Warenlieferung;10333,01;EUR;;;
SI10056272;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176655;14.03.2025;Warenlieferung;2991,30;EUR;;;
SI10056273;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176640;14.03.2025;Warenlieferung;5416,69;EUR;;;
SI10056274;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176633;14.03.2025;Warenlieferung;3355,80;EUR;;;
SI10056275;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176632;14.03.2025;Warenlieferung;2678,93;EUR;;;
SI10056276;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176625;14.03.2025;Warenlieferung;4530,76;EUR;;;
SI10056277;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176624;14.03.2025;Warenlieferung;4427,04;EUR;;;
SI10056278;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176618;14.03.2025;Warenlieferung;1800,23;EUR;;;
SI10056279;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;14.03.2025;14.03.2025;DN0176617;14.03.2025;Warenlieferung;2710,72;EUR;;;
SI10056280;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DN0176615;14.03.2025;Warenlieferung;5057,62;EUR;;;
SI10056281;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DN0176609;14.03.2025;Warenlieferung;11384,74;EUR;;;
SI10056282;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DNP023423;14.03.2025;Warenlieferung;12071,46;EUR;;;
SI10056283;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DN0176598;14.03.2025;Warenlieferung;7227,32;EUR;;;
SI10056284;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DN10058237;14.03.2025;Warenlieferung;7618,67;EUR;;;
SI10056285;Rechnung;800291;ALPEN TECHNIK;C-DOM;14.03.2025;14.03.2025;DN10058236;14.03.2025;Warenlieferung;3208,72;EUR;;;
SI10056286;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;14.03.2025;14.03.2025;DN10058235;14.03.2025;Warenlieferung;8396,64;EUR;;;
SI10056287;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;14.03.2025;14.03.2025;DN10058234;14.03.2025;Warenlieferung;7325,21;EUR;;;
SI10056288;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;14.03.2025;14.03.2025;DN10058233;14.03.2025;Warenlieferung;2709,84;EUR;;;
SI10056289;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;14.03.2025;14.03.2025;DN10058232;14.03.2025;Warenlieferung;2762,70;EUR;;;
SI10056290;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;17.03.2025;17.03.2025;DN0176923;17.03.2025;Warenlieferung;8431,82;EUR;;;
SI10056291;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;17.03.2025;17.03.2025;DN0176918;17.03.2025;Warenlieferung;8507,21;EUR;;;
SI10056292;Rechnung;802445;HANSE INDUSTRIEBEDARF GMBH;C-DOM;17.03.2025;17.03.2025;DN0176913;17.03.2025;Warenlieferung;12844,80;EUR;;;
SI10056293;Rechnung;800603;TAUNUS TROCKENBAU BV;C-EU;17.03.2025;17.03.2025;DN0176903;17.03.2025;Warenlieferung;4989,60;EUR;;;
SI10056294;Rechnung;802011;KOMPAKTBAUSTOFFE GMBH;C-DOM;17.03.2025;17.03.2025;DN0176899;17.03.2025;Warenlieferung;1736,76;EUR;;;
SI10056295;Rechnung;800603;TAUNUS TROCKENBAU BV;C-EU;17.03.2025;17.03.2025;DN0176898;17.03.2025;Warenlieferung;3267,00;EUR;;;
SI10056296;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;17.03.2025;17.03.2025;DN0176897;17.03.2025;Warenlieferung;2989,91;EUR;;;
SI10056297;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;17.03.2025;17.03.2025;DN0176896;17.03.2025;Warenlieferung;6251,86;EUR;;;
SI10056298;Rechnung;800630;FORMA FOLIEN GMBH;C-DOM;17.03.2025;17.03.2025;DN0176886;17.03.2025;Warenlieferung;5448,82;EUR;;;
SI10056299;Rechnung;800186;KORUND ELEKTRO GMBH;C-DOM;17.03.2025;17.03.2025;DN0176885;17.03.2025;Warenlieferung;8754,87;EUR;;;
SI10056300;Rechnung;802171;;;17.03.2025;17.03.2025;DN0176884;17.03.2025;Warenlieferung;3827,04;EUR;;;
SI10056301;Rechnung;801839;MAIN FOLIEN GMBH;C-DOM;17.03.2025;17.03.2025;DN0176878;17.03.2025;Warenlieferung;2463,30;EUR;;;
SI10056302;Rechnung;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;17.03.2025;17.03.2025;DN0176870;17.03.2025;Warenlieferung;3495,74;EUR;;;
SI10056303;Rechnung;801900;CERESELEKTRO;C-DOM;17.03.2025;17.03.2025;DN0176869;17.03.2025;Warenlieferung;4838,06;EUR;;;
SI10056304;Rechnung;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;C-DOM;17.03.2025;17.03.2025;DN0176868;17.03.2025;Warenlieferung;11707,32;EUR;;;
SI10056305;Rechnung;802090;ARGUS WERKZEUGE;C-DOM;17.03.2025;17.03.2025;DN0176866;17.03.2025;Warenlieferung;746,70;EUR;;;
SI10056306;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176865;17.03.2025;Warenlieferung;5517,79;EUR;;;
SI10056307;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176862;17.03.2025;Warenlieferung;3080,62;EUR;;;
SI10056308;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176861;17.03.2025;Warenlieferung;11267,92;EUR;;;
SI10056309;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176857;17.03.2025;Warenlieferung;8466,26;EUR;;;
SI10056310;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176856;17.03.2025;Warenlieferung;6236,00;EUR;;;
SI10056311;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176851;17.03.2025;Warenlieferung;4279,72;EUR;;;
SI10056312;Rechnung;800181;HANSE GEBÄUDETECHNIK GMBH;C-DOM;17.03.2025;17.03.2025;DN0176834;17.03.2025;Warenlieferung;2758,04;EUR;;;
SI10056313;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176832;17.03.2025;Warenlieferung;12401,89;EUR;;;
SI10056314;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176831;17.03.2025;Warenlieferung;10692,86;EUR;;;
SI10056315;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176830;17.03.2025;Warenlieferung;10384,42;EUR;;;
SI10056316;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176824;17.03.2025;Warenlieferung;9767,52;EUR;;;
SI10056317;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176823;17.03.2025;Warenlieferung;11669,62;EUR;;;
SI10056318;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176822;17.03.2025;Warenlieferung;2583,25;EUR;;;
SI10056319;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176818;17.03.2025;Warenlieferung;6764,44;EUR;;;
SI10056320;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176817;17.03.2025;Warenlieferung;6306,65;EUR;;;
SI10056321;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176816;17.03.2025;Warenlieferung;7626,38;EUR;;;
SI10056322;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176815;17.03.2025;Warenlieferung;3015,94;EUR;;;
SI10056323;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176814;17.03.2025;Warenlieferung;11553,09;EUR;;;
SI10056324;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176813;17.03.2025;Warenlieferung;112,10;EUR;;;
SI10056325;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176812;17.03.2025;Warenlieferung;7729,19;EUR;;;
SI10056326;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176811;17.03.2025;Warenlieferung;8241,99;EUR;;;
SI10056327;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176810;17.03.2025;Warenlieferung;4685,03;EUR;;;
SI10056328;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176809;17.03.2025;Warenlieferung;6020,81;EUR;;;
SI10056329;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176806;17.03.2025;Warenlieferung;11565,09;EUR;;;
SI10056330;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176802;17.03.2025;Warenlieferung;14291,42;EUR;;;
SI10056331;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176789;17.03.2025;Warenlieferung;9561,89;EUR;;;
SI10056332;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176782;17.03.2025;Warenlieferung;3187,30;EUR;;;
SI10056333;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN0176780;17.03.2025;Warenlieferung;10063,12;EUR;;;
SI10056334;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058346;17.03.2025;Warenlieferung;9572,10;EUR;;;
SI10056335;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058345;17.03.2025;Warenlieferung;4196,18;EUR;;;
SI10056336;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058344;17.03.2025;Warenlieferung;2152,71;EUR;;;
SI10056337;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058343;17.03.2025;Warenlieferung;4741,10;EUR;;;
SI10056338;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058342;17.03.2025;Warenlieferung;1278,66;EUR;;;
SI10056339;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058341;17.03.2025;Warenlieferung;3829,90;EUR;;;
SI10056340;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058340;17.03.2025;Warenlieferung;11590,79;EUR;;;
SI10056341;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058339;17.03.2025;Warenlieferung;6383,16;EUR;;;
SI10056342;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058338;17.03.2025;Warenlieferung;2650,73;EUR;;;
SI10056343;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058337;17.03.2025;Warenlieferung;2448,19;EUR;;;
SI10056344;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058336;17.03.2025;Warenlieferung;4759,10;EUR;;;
SI10056345;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058335;17.03.2025;Warenlieferung;5343,58;EUR;;;
SI10056346;Rechnung;800004;SÜD PANEELE KG;C-DOM;17.03.2025;17.03.2025;DN10058334;17.03.2025;Warenlieferung;6177,53;EUR;;;
SI10056347;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058333;17.03.2025;Warenlieferung;11890,24;EUR;;;
SI10056348;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058332;17.03.2025;Warenlieferung;7341,06;EUR;;;
SI10056349;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058331;17.03.2025;Warenlieferung;8781,69;EUR;;;
SI10056350;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058330;17.03.2025;Warenlieferung;10412,40;EUR;;;
SI10056351;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058329;17.03.2025;Warenlieferung;2374,05;EUR;;;
SI10056352;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058328;17.03.2025;Warenlieferung;156,79;EUR;;;
SI10056353;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058327;17.03.2025;Warenlieferung;11084,85;EUR;;;
SI10056354;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058326;17.03.2025;Warenlieferung;7348,13;EUR;;;
SI10056355;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058325;17.03.2025;Warenlieferung;1388,02;EUR;;;
SI10056356;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058324;17.03.2025;Warenlieferung;2750,33;EUR;;;
SI10056357;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058323;17.03.2025;Warenlieferung;1659,84;EUR;;;
SI10056358;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058322;17.03.2025;Warenlieferung;5706,29;EUR;;;
SI10056359;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058321;17.03.2025;Warenlieferung;5729,85;EUR;;;
SI10056360;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058320;17.03.2025;Warenlieferung;10847,09;EUR;;;
SI10056361;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058319;17.03.2025;Warenlieferung;10847,09;EUR;;;
SI10056362;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058318;17.03.2025;Warenlieferung;10847,09;EUR;;;
SI10056363;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058317;17.03.2025;Warenlieferung;10380,24;EUR;;;
SI10056364;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058316;17.03.2025;Warenlieferung;4545,11;EUR;;;
SI10056365;Rechnung;800002;POLARIS BAUBEDARF KG;C-DOM;17.03.2025;17.03.2025;DN10058315;17.03.2025;Warenlieferung;1175,96;EUR;;;
SI10056366;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058314;17.03.2025;Warenlieferung;11404,01;EUR;;;
SI10056367;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058313;17.03.2025;Warenlieferung;11721,17;EUR;;;
SI10056368;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058312;17.03.2025;Warenlieferung;10515,93;EUR;;;
SI10056369;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058311;17.03.2025;Warenlieferung;11089,99;EUR;;;
SI10056370;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058310;17.03.2025;Warenlieferung;7578,40;EUR;;;
SI10056371;Rechnung;800291;ALPEN TECHNIK;C-DOM;17.03.2025;17.03.2025;DN10058309;17.03.2025;Warenlieferung;10932,77;EUR;;;
