WARENAUSGANG_NR;WARENAUSGANG_DATUM;RECHNUNGSNUMMER;DEBITOR;DEBITORNAME;BETRAG_EUR;LAGERORT
DN10059818;07.04.2025;SI10057875;800004;SÜD PANEELE KG;10898,50;Werk Musterstadt
DN10059817;07.04.2025;SI10057876;800004;SÜD PANEELE KG;5548,71;Werk Musterstadt
DN10059816;07.04.2025;SI10057877;800004;SÜD PANEELE KG;8129,10;Werk Musterstadt
DN10059815;07.04.2025;SI10057878;800004;SÜD PANEELE KG;6313,55;Werk Musterstadt
DN10059814;07.04.2025;SI10057879;800004;SÜD PANEELE KG;3011,22;Werk Musterstadt
DN10059813;07.04.2025;SI10057880;800004;SÜD PANEELE KG;6920,37;Werk Musterstadt
DN10059812;07.04.2025;SI10057881;800004;SÜD PANEELE KG;2679,88;Werk Musterstadt
DN10059811;07.04.2025;SI10057882;800004;SÜD PANEELE KG;11686,75;Werk Musterstadt
DN10059810;07.04.2025;SI10057883;800004;SÜD PANEELE KG;12541,27;Werk Musterstadt
DN10059809;07.04.2025;SI10057884;800004;SÜD PANEELE KG;3701,38;Werk Musterstadt
DN10059808;07.04.2025;SI10057885;800004;SÜD PANEELE KG;3061,63;Werk Musterstadt
DN10059807;07.04.2025;SI10057886;800004;SÜD PANEELE KG;11663,33;Werk Musterstadt
DN10059806;07.04.2025;SI10057887;800004;SÜD PANEELE KG;7803,26;Werk Musterstadt
DN10059805;07.04.2025;SI10057888;800004;SÜD PANEELE KG;2723,86;Werk Musterstadt
DN10059804;07.04.2025;SI10057889;800004;SÜD PANEELE KG;7494,64;Werk Musterstadt
DN10059803;07.04.2025;SI10057890;800004;SÜD PANEELE KG;4413,38;Werk Musterstadt
DN10059802;07.04.2025;SI10057891;800004;SÜD PANEELE KG;10731,42;Werk Musterstadt
DN10059801;07.04.2025;SI10057892;800004;SÜD PANEELE KG;13982,98;Werk Musterstadt
DN10059800;07.04.2025;SI10057893;800291;ALPEN TECHNIK;10573,61;Werk Musterstadt
DN10059799;07.04.2025;SI10057894;800291;ALPEN TECHNIK;11429,71;Werk Musterstadt
DN10059798;07.04.2025;SI10057895;800291;ALPEN TECHNIK;8880,73;Werk Musterstadt
DN10059797;07.04.2025;SI10057896;800291;ALPEN TECHNIK;6766,04;Werk Musterstadt
DN10059796;07.04.2025;SI10057897;800291;ALPEN TECHNIK;2690,21;Werk Musterstadt
DN10059795;07.04.2025;SI10057898;800291;ALPEN TECHNIK;4851,27;Werk Musterstadt
DN10059794;07.04.2025;SI10057899;800291;ALPEN TECHNIK;5111,03;Werk Musterstadt
DN10059793;07.04.2025;SI10057900;800291;ALPEN TECHNIK;3598,56;Werk Musterstadt
DN10059792;07.04.2025;SI10057901;800291;ALPEN TECHNIK;5989,89;Werk Musterstadt
DN10059791;07.04.2025;SI10057902;800291;ALPEN TECHNIK;2783,74;Werk Musterstadt
DN10059790;07.04.2025;SI10057903;800291;ALPEN TECHNIK;12283,94;Werk Musterstadt
DN10059789;07.04.2025;SI10057904;800291;ALPEN TECHNIK;8225,28;Werk Musterstadt
DN10059788;07.04.2025;SI10057905;800291;ALPEN TECHNIK;3335,09;Werk Musterstadt
DN10059787;07.04.2025;SI10057906;800291;ALPEN TECHNIK;3037,71;Werk Musterstadt
DN10059786;07.04.2025;SI10057907;802445;HANSE INDUSTRIEBEDARF GMBH;8401,11;Werk Musterstadt
DN10059785;07.04.2025;SI10057908;800313;ROBURRECYCLING GMBH;9213,28;Werk Musterstadt
DN10059783;07.04.2025;SI10057909;800060;HANSE INDUSTRIEBEDARF;3016,36;Werk Musterstadt
DN10059782;07.04.2025;SI10057910;802736;CeresMaschinen;3084,48;Werk Musterstadt
DN10059781;07.04.2025;SI10057911;802839;QUARZDÄMMTECHNIK AG;2792,74;Werk Musterstadt
DN0180035;08.04.2025;SI10057912;802445;HANSE INDUSTRIEBEDARF GMBH;5674,38;Werk Musterstadt
DN0180034;08.04.2025;SI10057913;802445;HANSE INDUSTRIEBEDARF GMBH;4965,37;Werk Musterstadt
DN0180001;08.04.2025;SI10057914;800002;POLARIS BAUBEDARF KG;2812,87;Werk Musterstadt
DN0180000;08.04.2025;SI10057915;800002;POLARIS BAUBEDARF KG;5795,45;Werk Musterstadt
DN0179999;08.04.2025;SI10057916;800002;POLARIS BAUBEDARF KG;8458,90;Werk Musterstadt
DN0179998;08.04.2025;SI10057917;800002;POLARIS BAUBEDARF KG;2965,60;Werk Musterstadt
DN0179997;08.04.2025;SI10057918;800002;POLARIS BAUBEDARF KG;3859,88;Werk Musterstadt
DN0179984;08.04.2025;SI10057919;800002;POLARIS BAUBEDARF KG;15532,36;Werk Musterstadt
DN0179983;08.04.2025;SI10057920;800002;POLARIS BAUBEDARF KG;2998,80;Werk Musterstadt
DN0179982;08.04.2025;SI10057921;800002;POLARIS BAUBEDARF KG;10138,80;Werk Musterstadt
DN0179977;08.04.2025;SI10057922;800002;POLARIS BAUBEDARF KG;5440,68;Werk Musterstadt
DN0179976;08.04.2025;SI10057923;800002;POLARIS BAUBEDARF KG;2724,62;Werk Musterstadt
DN0179972;08.04.2025;SI10057924;800002;POLARIS BAUBEDARF KG;2771,21;Werk Musterstadt
DN0179971;08.04.2025;SI10057925;800002;POLARIS BAUBEDARF KG;13109,04;Werk Musterstadt
DN0179970;08.04.2025;SI10057926;800002;POLARIS BAUBEDARF KG;2708,34;Werk Musterstadt
DN0179965;08.04.2025;SI10057927;800002;POLARIS BAUBEDARF KG;8621,55;Werk Musterstadt
DN0179964;08.04.2025;SI10057928;800002;POLARIS BAUBEDARF KG;4152,05;Werk Musterstadt
DN0179960;08.04.2025;SI10057929;800002;POLARIS BAUBEDARF KG;2750,69;Werk Musterstadt
DN0179955;08.04.2025;SI10057930;800002;POLARIS BAUBEDARF KG;3941,28;Werk Musterstadt
DN0179954;08.04.2025;SI10057931;800002;POLARIS BAUBEDARF KG;5706,29;Werk Musterstadt
DN0179953;08.04.2025;SI10057932;800002;POLARIS BAUBEDARF KG;10604,19;Werk Musterstadt
DN0179947;08.04.2025;SI10057933;800291;ALPEN TECHNIK;8731,28;Werk Musterstadt
DN0179946;08.04.2025;SI10057934;800291;ALPEN TECHNIK;7748,90;Werk Musterstadt
DN0179901;08.04.2025;SI10057935;800291;ALPEN TECHNIK;3548,87;Werk Musterstadt
DN0179900;08.04.2025;SI10057936;800291;ALPEN TECHNIK;2838,29;Werk Musterstadt
DN0179899;08.04.2025;SI10057937;800291;ALPEN TECHNIK;4395,38;Werk Musterstadt
DN0179898;08.04.2025;SI10057938;800291;ALPEN TECHNIK;8790,77;Werk Musterstadt
DN0179897;08.04.2025;SI10057939;800291;ALPEN TECHNIK;5062,40;Werk Musterstadt
DN0179896;08.04.2025;SI10057940;800291;ALPEN TECHNIK;3013,79;Werk Musterstadt
DN0179895;08.04.2025;SI10057941;800291;ALPEN TECHNIK;5909,35;Werk Musterstadt
DN0179894;08.04.2025;SI10057942;800291;ALPEN TECHNIK;15771,97;Werk Musterstadt
DN0179886;08.04.2025;SI10057943;800181;HANSE GEBÄUDETECHNIK GMBH;2491,86;Werk Musterstadt
DN0179885;08.04.2025;SI10057944;800181;HANSE GEBÄUDETECHNIK GMBH;5105,67;Werk Musterstadt
DN0179872;08.04.2025;SI10057945;800181;HANSE GEBÄUDETECHNIK GMBH;3724,51;Werk Musterstadt
DN0179871;08.04.2025;SI10057946;800181;HANSE GEBÄUDETECHNIK GMBH;2853,14;Werk Musterstadt
DN0179866;08.04.2025;SI10057947;800181;HANSE GEBÄUDETECHNIK GMBH;4000,40;Werk Musterstadt
DN0179865;08.04.2025;SI10057948;800181;HANSE GEBÄUDETECHNIK GMBH;7594,25;Werk Musterstadt
DN10059954;08.04.2025;SI10057949;800004;SÜD PANEELE KG;9459,07;Werk Musterstadt
DN10059953;08.04.2025;SI10057950;800004;SÜD PANEELE KG;6554,52;Werk Musterstadt
DN10059952;08.04.2025;SI10057951;800004;SÜD PANEELE KG;144,23;Werk Musterstadt
DN10059951;08.04.2025;SI10057952;800004;SÜD PANEELE KG;2320,14;Werk Musterstadt
DN10059950;08.04.2025;SI10057953;800004;SÜD PANEELE KG;12415,03;Werk Musterstadt
DN10059949;08.04.2025;SI10057954;800004;SÜD PANEELE KG;6468,13;Werk Musterstadt
DN10059948;08.04.2025;SI10057955;800004;SÜD PANEELE KG;11135,19;Werk Musterstadt
DN10059947;08.04.2025;SI10057956;800004;SÜD PANEELE KG;10747,70;Werk Musterstadt
DN10059946;08.04.2025;SI10057957;800004;SÜD PANEELE KG;11167,36;Werk Musterstadt
DN10059945;08.04.2025;SI10057958;800004;SÜD PANEELE KG;11275,35;Werk Musterstadt
DN10059944;08.04.2025;SI10057959;800004;SÜD PANEELE KG;6066,14;Werk Musterstadt
DN10059943;08.04.2025;SI10057960;800004;SÜD PANEELE KG;4259,37;Werk Musterstadt
DN10059942;08.04.2025;SI10057961;800004;SÜD PANEELE KG;6641,91;Werk Musterstadt
DN10059941;08.04.2025;SI10057962;800004;SÜD PANEELE KG;4209,39;Werk Musterstadt
DN10059940;08.04.2025;SI10057963;800004;SÜD PANEELE KG;11601,93;Werk Musterstadt
DN10059939;08.04.2025;SI10057964;800004;SÜD PANEELE KG;1681,04;Werk Musterstadt
DN10059938;08.04.2025;SI10057965;800004;SÜD PANEELE KG;2119,29;Werk Musterstadt
DN10059936;08.04.2025;SI10057966;800004;SÜD PANEELE KG;3472,40;Werk Musterstadt
DN10059935;08.04.2025;SI10057967;800004;SÜD PANEELE KG;9552,89;Werk Musterstadt
DN10059934;08.04.2025;SI10057968;800004;SÜD PANEELE KG;5317,09;Werk Musterstadt
DN10059933;08.04.2025;SI10057969;800004;SÜD PANEELE KG;6554,52;Werk Musterstadt
DN10059932;08.04.2025;SI10057970;800004;SÜD PANEELE KG;2375,48;Werk Musterstadt
DN10059929;08.04.2025;SI10057971;800004;SÜD PANEELE KG;11260,92;Werk Musterstadt
DN10059928;08.04.2025;SI10057972;800004;SÜD PANEELE KG;5194,35;Werk Musterstadt
DN10059927;08.04.2025;SI10057973;800004;SÜD PANEELE KG;6171,16;Werk Musterstadt
DN10059926;08.04.2025;SI10057974;800004;SÜD PANEELE KG;3103,33;Werk Musterstadt
DN10059925;08.04.2025;SI10057975;800004;SÜD PANEELE KG;2665,50;Werk Musterstadt
DN10059924;08.04.2025;SI10057976;800004;SÜD PANEELE KG;3482,89;Werk Musterstadt
DN10059923;08.04.2025;SI10057977;800004;SÜD PANEELE KG;3712,80;Werk Musterstadt
DN10059922;08.04.2025;SI10057978;800004;SÜD PANEELE KG;5037,98;Werk Musterstadt
DN10059921;08.04.2025;SI10057979;800004;SÜD PANEELE KG;6211,80;Werk Musterstadt
DN10059920;08.04.2025;SI10057980;800004;SÜD PANEELE KG;4891,47;Werk Musterstadt
DN10059919;08.04.2025;SI10057981;800004;SÜD PANEELE KG;13982,98;Werk Musterstadt
DN10059918;08.04.2025;SI10057982;800004;SÜD PANEELE KG;6975,16;Werk Musterstadt
DN10059917;08.04.2025;SI10057983;801849;CERESMASCHINEN GMBH;2024,19;Werk Musterstadt
DN10059916;08.04.2025;SI10057984;801090;NOVAHANDEL;4608,00;Werk Musterstadt
DN10059915;08.04.2025;SI10057985;801071;FORMA PLATTEN GMBH;3781,63;Werk Musterstadt
DN10059914;08.04.2025;SI10057986;801839;MAIN FOLIEN GMBH;3997,40;Werk Musterstadt
DN10059913;08.04.2025;SI10057987;800630;FORMA FOLIEN GMBH;3242,83;Werk Musterstadt
DN10059912;08.04.2025;SI10057988;801090;NOVAHANDEL;1728,00;Werk Musterstadt
DN10059911;08.04.2025;SI10057989;800189;FOKUS MONTAGE MBH;15064,95;Werk Musterstadt
DN10059910;08.04.2025;SI10057990;801839;MAIN FOLIEN GMBH;125,31;Werk Musterstadt
DN10059909;08.04.2025;SI10057991;801948;MAIN TECHNIK;12309,36;Werk Musterstadt
DN10059908;08.04.2025;SI10057992;802997;ORION METALL GMBH & CO. KG;3308,10;Werk Musterstadt
DN10059907;08.04.2025;SI10057993;802997;ORION METALL GMBH & CO. KG;1079,57;Werk Musterstadt
DN10059906;08.04.2025;SI10057994;801199;PRISMA VERPACKUNG GMBH & CO. KG;2656,15;Werk Musterstadt
DN10059905;08.04.2025;SI10057995;800212;ZENIT HANDEL GMBH;6307,75;Werk Musterstadt
DN10059903;08.04.2025;SI10057996;802839;QUARZDÄMMTECHNIK AG;2320,14;Werk Musterstadt
DN10059902;08.04.2025;SI10057997;800004;SÜD PANEELE KG;5421,45;Werk Musterstadt
DN10059901;08.04.2025;SI10057998;802998;;2209,33;Werk Musterstadt
DN0180265;09.04.2025;SI10057999;802445;HANSE INDUSTRIEBEDARF GMBH;5531,11;Werk Musterstadt
DN0180241;09.04.2025;SI10058000;802445;HANSE INDUSTRIEBEDARF GMBH;7437,21;Werk Musterstadt
DN0180240;09.04.2025;SI10058001;800181;HANSE GEBÄUDETECHNIK GMBH;9049,55;Werk Musterstadt
DN0180232;09.04.2025;SI10058002;800181;HANSE GEBÄUDETECHNIK GMBH;2948,25;Werk Musterstadt
DN0180195;09.04.2025;SI10058003;800181;HANSE GEBÄUDETECHNIK GMBH;2876,92;Werk Musterstadt
DN0180131;09.04.2025;SI10058004;800181;HANSE GEBÄUDETECHNIK GMBH;4882,90;Werk Musterstadt
DN0180130;09.04.2025;SI10058005;800181;HANSE GEBÄUDETECHNIK GMBH;3454,62;Werk Musterstadt
DN0180127;09.04.2025;SI10058006;800181;HANSE GEBÄUDETECHNIK GMBH;2590,96;Werk Musterstadt
DN0180121;09.04.2025;SI10058007;800181;HANSE GEBÄUDETECHNIK GMBH;2755,47;Werk Musterstadt
DN0180120;09.04.2025;SI10058008;801900;CERESELEKTRO;7425,96;Werk Musterstadt
DN0180106;09.04.2025;SI10058009;802171;;6311,76;Werk Musterstadt
DN0180105;09.04.2025;SI10058010;802380;SOLIDGEBÄUDETECHNIK B.V.;8375,40;Werk Musterstadt
DN0179966;09.04.2025;SI10058011;801839;MAIN FOLIEN GMBH;3604,13;Werk Musterstadt
DN0180094;09.04.2025;SI10058012;800630;FORMA FOLIEN GMBH;2403,75;Werk Musterstadt
DN0180093;09.04.2025;SI10058013;800190;WEST GEBÄUDETECHNIK GMBH;3564,29;Werk Musterstadt
DN0180092;09.04.2025;SI10058014;800630;FORMA FOLIEN GMBH;3966,97;Werk Musterstadt
DN0180091;09.04.2025;SI10058015;800630;FORMA FOLIEN GMBH;3463,26;Werk Musterstadt
DN0180090;09.04.2025;SI10058016;800630;FORMA FOLIEN GMBH;4708,12;Werk Musterstadt
DN0180089;09.04.2025;SI10058017;800295;NOVAFOLIEN MBH;2534,84;Werk Musterstadt
DN0180088;09.04.2025;SI10058018;801071;FORMA PLATTEN GMBH;1092,42;Werk Musterstadt
DN0180087;09.04.2025;SI10058019;800630;FORMA FOLIEN GMBH;3813,64;Werk Musterstadt
DN0180086;09.04.2025;SI10058020;800086;BOREASLOGISTIK GMBH;9156,99;Werk Musterstadt
DN0180084;09.04.2025;SI10058021;800630;FORMA FOLIEN GMBH;4331,77;Werk Musterstadt
DN10060035;09.04.2025;SI10058022;800630;FORMA FOLIEN GMBH;5508,68;Werk Musterstadt
DN10060034;09.04.2025;SI10058023;800078;KLINKERMETALL E.K.;6829,70;Werk Musterstadt
DN10060033;09.04.2025;SI10058024;800630;FORMA FOLIEN GMBH;36,37;Werk Musterstadt
DN10060032;09.04.2025;SI10058025;800002;POLARIS BAUBEDARF KG;11812,84;Werk Musterstadt
DN10060031;09.04.2025;SI10058026;800002;POLARIS BAUBEDARF KG;6058,43;Werk Musterstadt
DN10060030;09.04.2025;SI10058027;800002;POLARIS BAUBEDARF KG;4714,58;Werk Musterstadt
DN10060029;09.04.2025;SI10058028;800002;POLARIS BAUBEDARF KG;3744,22;Werk Musterstadt
DN10060028;09.04.2025;SI10058029;800002;POLARIS BAUBEDARF KG;3331,27;Werk Musterstadt
DN10060027;09.04.2025;SI10058030;800002;POLARIS BAUBEDARF KG;2494,59;Werk Musterstadt
DN10060026;09.04.2025;SI10058031;800002;POLARIS BAUBEDARF KG;3281,54;Werk Musterstadt
DN10060025;09.04.2025;SI10058032;800002;POLARIS BAUBEDARF KG;10707,14;Werk Musterstadt
DN10060024;09.04.2025;SI10058033;800002;POLARIS BAUBEDARF KG;4258,22;Werk Musterstadt
DN10060023;09.04.2025;SI10058034;800002;POLARIS BAUBEDARF KG;4755,24;Werk Musterstadt
DN10060022;09.04.2025;SI10058035;800002;POLARIS BAUBEDARF KG;2776,03;Werk Musterstadt
DN10060021;09.04.2025;SI10058036;800002;POLARIS BAUBEDARF KG;1457,42;Werk Musterstadt
DN10060020;09.04.2025;SI10058037;800002;POLARIS BAUBEDARF KG;2837,29;Werk Musterstadt
DN10060019;09.04.2025;SI10058038;800002;POLARIS BAUBEDARF KG;4613,44;Werk Musterstadt
DN10060018;09.04.2025;SI10058039;800291;ALPEN TECHNIK;4102,36;Werk Musterstadt
DN10060017;09.04.2025;SI10058040;800291;ALPEN TECHNIK;11391,58;Werk Musterstadt
DN10060015;09.04.2025;SI10058041;800291;ALPEN TECHNIK;4376,11;Werk Musterstadt
DN10060014;09.04.2025;SI10058042;800291;ALPEN TECHNIK;5322,12;Werk Musterstadt
DN10060013;09.04.2025;SI10058043;800291;ALPEN TECHNIK;5909,35;Werk Musterstadt
DN10060012;09.04.2025;SI10058044;800004;SÜD PANEELE KG;4048,38;Werk Musterstadt
DN10060011;09.04.2025;SI10058045;800004;SÜD PANEELE KG;7759,40;Werk Musterstadt
DN10060010;09.04.2025;SI10058046;800004;SÜD PANEELE KG;9968,01;Werk Musterstadt
DN10060009;09.04.2025;SI10058047;800004;SÜD PANEELE KG;10262,75;Werk Musterstadt
DN10060008;09.04.2025;SI10058048;800004;SÜD PANEELE KG;11917,02;Werk Musterstadt
DN10060007;09.04.2025;SI10058049;800004;SÜD PANEELE KG;9345,28;Werk Musterstadt
DN10060006;09.04.2025;SI10058050;800004;SÜD PANEELE KG;2506,14;Werk Musterstadt
DN10060005;09.04.2025;SI10058051;800004;SÜD PANEELE KG;9602,59;Werk Musterstadt
DN10060004;09.04.2025;SI10058052;800004;SÜD PANEELE KG;3624,26;Werk Musterstadt
DN10060003;09.04.2025;SI10058053;800004;SÜD PANEELE KG;11135,19;Werk Musterstadt
DN10060002;09.04.2025;SI10058054;800004;SÜD PANEELE KG;2846,36;Werk Musterstadt
DN10060001;09.04.2025;SI10058055;800004;SÜD PANEELE KG;12104,44;Werk Musterstadt
DN10060000;09.04.2025;SI10058056;800004;SÜD PANEELE KG;4785,66;Werk Musterstadt
DN10059999;09.04.2025;SI10058057;800004;SÜD PANEELE KG;2518,99;Werk Musterstadt
DN10059998;09.04.2025;SI10058058;800004;SÜD PANEELE KG;4369,68;Werk Musterstadt
DN10059997;09.04.2025;SI10058059;800004;SÜD PANEELE KG;7262,24;Werk Musterstadt
DN10059996;09.04.2025;SI10058060;800004;SÜD PANEELE KG;2861,71;Werk Musterstadt
DN10059995;09.04.2025;SI10058061;800004;SÜD PANEELE KG;2387,47;Werk Musterstadt
DN10059994;09.04.2025;SI10058062;800004;SÜD PANEELE KG;2971,17;Werk Musterstadt
DN10059993;09.04.2025;SI10058063;800004;SÜD PANEELE KG;4202,60;Werk Musterstadt
DN10059992;09.04.2025;SI10058064;800004;SÜD PANEELE KG;4583,88;Werk Musterstadt
DN10059991;09.04.2025;SI10058065;800004;SÜD PANEELE KG;5879,36;Werk Musterstadt
DN10059990;09.04.2025;SI10058066;800004;SÜD PANEELE KG;2337,16;Werk Musterstadt
DN10059989;09.04.2025;SI10058067;800004;SÜD PANEELE KG;1570,51;Werk Musterstadt
DN10059987;09.04.2025;SI10058068;800004;SÜD PANEELE KG;2536,98;Werk Musterstadt
DN10059986;09.04.2025;SI10058069;800004;SÜD PANEELE KG;3526,59;Werk Musterstadt
DN10059985;09.04.2025;SI10058070;800004;SÜD PANEELE KG;5301,88;Werk Musterstadt
DN10059984;09.04.2025;SI10058071;800004;SÜD PANEELE KG;6889,31;Werk Musterstadt
DN10059983;09.04.2025;SI10058072;800004;SÜD PANEELE KG;3975,34;Werk Musterstadt
DN10059982;09.04.2025;SI10058073;800004;SÜD PANEELE KG;5448,45;Werk Musterstadt
DN10059981;09.04.2025;SI10058074;800004;SÜD PANEELE KG;2854,86;Werk Musterstadt
DN10059980;09.04.2025;SI10058075;800004;SÜD PANEELE KG;9626,15;Werk Musterstadt
DN10059979;09.04.2025;SI10058076;800004;SÜD PANEELE KG;5704,85;Werk Musterstadt
DN10059978;09.04.2025;SI10058077;800004;SÜD PANEELE KG;5591,76;Werk Musterstadt
DN10059977;09.04.2025;SI10058078;800004;SÜD PANEELE KG;4948,02;Werk Musterstadt
DN10059976;09.04.2025;SI10058079;800004;SÜD PANEELE KG;3884,16;Werk Musterstadt
DN10059975;09.04.2025;SI10058080;800004;SÜD PANEELE KG;3594,92;Werk Musterstadt
DN10059974;09.04.2025;SI10058081;800004;SÜD PANEELE KG;3101,19;Werk Musterstadt
DN10059973;09.04.2025;SI10058082;800004;SÜD PANEELE KG;6014,74;Werk Musterstadt
DN10059972;09.04.2025;SI10058083;800004;SÜD PANEELE KG;2708,34;Werk Musterstadt
DN10059971;09.04.2025;SI10058084;800004;SÜD PANEELE KG;327,73;Werk Musterstadt
DN10059970;09.04.2025;SI10058085;800004;SÜD PANEELE KG;3820,47;Werk Musterstadt
DN10059969;09.04.2025;SI10058086;800004;SÜD PANEELE KG;2847,57;Werk Musterstadt
DN10059968;09.04.2025;SI10058087;800004;SÜD PANEELE KG;5530,64;Werk Musterstadt
DN10059967;09.04.2025;SI10058088;800004;SÜD PANEELE KG;4986,58;Werk Musterstadt
DN10059966;09.04.2025;SI10058089;800004;SÜD PANEELE KG;4122,92;Werk Musterstadt
DN10059965;09.04.2025;SI10058090;800004;SÜD PANEELE KG;4283,43;Werk Musterstadt
DN10059964;09.04.2025;SI10058091;800004;SÜD PANEELE KG;2518,99;Werk Musterstadt
DN10059963;09.04.2025;SI10058092;800004;SÜD PANEELE KG;8937,63;Werk Musterstadt
DN10059962;09.04.2025;SI10058093;800004;SÜD PANEELE KG;6772,19;Werk Musterstadt
DN10059961;09.04.2025;SI10058094;801120;ROBUR MONTAGE GMBH;7301,03;Werk Musterstadt
DN10059960;09.04.2025;SI10058095;802289;DELTA ZIEGEL GMBH & CO. KG;3010,51;Werk Musterstadt
DN10059959;09.04.2025;SI10058096;802794;FORMAMETALL GMBH;10727,14;Werk Musterstadt
DN10059958;09.04.2025;SI10058097;802839;QUARZDÄMMTECHNIK AG;6061,00;Werk Musterstadt
DN0180435;10.04.2025;SI10058098;800181;HANSE GEBÄUDETECHNIK GMBH;129,15;Werk Musterstadt
DN0180434;10.04.2025;SI10058099;800004;SÜD PANEELE KG;11119,26;Werk Musterstadt
DN0180429;10.04.2025;SI10058100;800286;;7738,96;Werk Musterstadt
DN0180428;10.04.2025;SI10058101;802093;ALLGÄUBAU GMBH;8430,91;Werk Musterstadt
DN0180424;10.04.2025;SI10058102;800630;FORMA FOLIEN GMBH;5781,79;Werk Musterstadt
DN0180422;10.04.2025;SI10058103;800186;KORUND ELEKTRO GMBH;7448,15;Werk Musterstadt
DN0180421;10.04.2025;SI10058104;800086;BOREASLOGISTIK GMBH;5450,02;Werk Musterstadt
DN0180420;10.04.2025;SI10058105;800186;KORUND ELEKTRO GMBH;2566,12;Werk Musterstadt
DN0180399;10.04.2025;SI10058106;800630;FORMA FOLIEN GMBH;2419,94;Werk Musterstadt
DN0180398;10.04.2025;SI10058107;800062;HARZ ANLAGENBAU GMBH;7784,88;Werk Musterstadt
DN0180397;10.04.2025;SI10058108;801435;ALLGÄU INDUSTRIEBEDARF GMBH & CO. KG;11707,32;Werk Musterstadt
DN0180394;10.04.2025;SI10058109;801839;MAIN FOLIEN GMBH;3145,31;Werk Musterstadt
DN0180392;10.04.2025;SI10058110;800181;HANSE GEBÄUDETECHNIK GMBH;1945,89;Werk Musterstadt
DN0180390;10.04.2025;SI10058111;800181;HANSE GEBÄUDETECHNIK GMBH;3715,66;Werk Musterstadt
DN0180372;10.04.2025;SI10058112;800181;HANSE GEBÄUDETECHNIK GMBH;6897,24;Werk Musterstadt
DN0180365;10.04.2025;SI10058113;800002;POLARIS BAUBEDARF KG;3965,27;Werk Musterstadt
DN0180358;10.04.2025;SI10058114;800002;POLARIS BAUBEDARF KG;11605,36;Werk Musterstadt
DN0180357;10.04.2025;SI10058115;800002;POLARIS BAUBEDARF KG;371,52;Werk Musterstadt
DN0180354;10.04.2025;SI10058116;800002;POLARIS BAUBEDARF KG;4601,02;Werk Musterstadt
DN0180339;10.04.2025;SI10058117;800002;POLARIS BAUBEDARF KG;4395,38;Werk Musterstadt
DN0180338;10.04.2025;SI10058118;800002;POLARIS BAUBEDARF KG;16734,33;Werk Musterstadt
DN0180334;10.04.2025;SI10058119;800002;POLARIS BAUBEDARF KG;8638,04;Werk Musterstadt
DN0180333;10.04.2025;SI10058120;800002;POLARIS BAUBEDARF KG;7759,18;Werk Musterstadt
DN0180332;10.04.2025;SI10058121;800002;POLARIS BAUBEDARF KG;13035,78;Werk Musterstadt
DN0180330;10.04.2025;SI10058122;800002;POLARIS BAUBEDARF KG;10034,41;Werk Musterstadt
DN0180102;10.04.2025;SI10058123;800002;POLARIS BAUBEDARF KG;9253,82;Werk Musterstadt
DN0180304;10.04.2025;SI10058124;800002;POLARIS BAUBEDARF KG;2814,59;Werk Musterstadt
DN0180303;10.04.2025;SI10058125;800002;POLARIS BAUBEDARF KG;2798,95;Werk Musterstadt
DN0180302;10.04.2025;SI10058126;800002;POLARIS BAUBEDARF KG;3564,29;Werk Musterstadt
DNP024187;10.04.2025;SI10058127;800002;POLARIS BAUBEDARF KG;904,40;Werk Musterstadt
DNP024185;10.04.2025;SI10058128;800002;POLARIS BAUBEDARF KG;3117,47;Werk Musterstadt
DN0180295;10.04.2025;SI10058129;800002;POLARIS BAUBEDARF KG;3791,34;Werk Musterstadt
DN0180292;10.04.2025;SI10058130;800002;POLARIS BAUBEDARF KG;47,98;Werk Musterstadt
DN10060117;10.04.2025;SI10058131;800002;POLARIS BAUBEDARF KG;8277,51;Werk Musterstadt
DN10060116;10.04.2025;SI10058132;800002;POLARIS BAUBEDARF KG;1918,88;Werk Musterstadt
DN10060115;10.04.2025;SI10058133;800002;POLARIS BAUBEDARF KG;2044,99;Werk Musterstadt
DN10060114;10.04.2025;SI10058134;800002;POLARIS BAUBEDARF KG;3451,00;Werk Musterstadt
DN10060113;10.04.2025;SI10058135;800291;ALPEN TECHNIK;1529,39;Werk Musterstadt
DN10060112;10.04.2025;SI10058136;800291;ALPEN TECHNIK;9816,36;Werk Musterstadt
DN10060111;10.04.2025;SI10058137;800291;ALPEN TECHNIK;3531,59;Werk Musterstadt
DN10060110;10.04.2025;SI10058138;800291;ALPEN TECHNIK;8415,81;Werk Musterstadt
DN10060109;10.04.2025;SI10058139;800291;ALPEN TECHNIK;4271,58;Werk Musterstadt
DN10060108;10.04.2025;SI10058140;800291;ALPEN TECHNIK;2854,86;Werk Musterstadt
DN10060107;10.04.2025;SI10058141;800291;ALPEN TECHNIK;7091,73;Werk Musterstadt
DN10060106;10.04.2025;SI10058142;800291;ALPEN TECHNIK;7930,11;Werk Musterstadt
DN10060105;10.04.2025;SI10058143;800291;ALPEN TECHNIK;4459,64;Werk Musterstadt
DN10060104;10.04.2025;SI10058144;800291;ALPEN TECHNIK;2930,26;Werk Musterstadt
DN10060103;10.04.2025;SI10058145;800291;ALPEN TECHNIK;12005,48;Werk Musterstadt
DN10060102;10.04.2025;SI10058146;800291;ALPEN TECHNIK;10849,66;Werk Musterstadt
